Tournament_Name,Date,Name,Salary
WYNDHAM_2026,8/8/26,Cameron Young,10400
WYNDHAM_2026,8/8/26,Jackson Koivun,10100
WYNDHAM_2026,8/8/26,Patrick Cantlay,10000
WYNDHAM_2026,8/8/26,Hideki Matsuyama,9500
WYNDHAM_2026,8/8/26,Justin Thomas,9400
WYNDHAM_2026,8/8/26,Ryan Gerard,9300
WYNDHAM_2026,8/8/26,Tom Kim,9200
WYNDHAM_2026,8/8/26,Ben Griffin,9100
WYNDHAM_2026,8/8/26,Maverick McNealy,9000
WYNDHAM_2026,8/8/26,Keegan Bradley,8900
WYNDHAM_2026,8/8/26,Aaron Rai,8800
WYNDHAM_2026,8/8/26,Alex Fitzpatrick,8700
WYNDHAM_2026,8/8/26,Michael Brennan,8600
WYNDHAM_2026,8/8/26,Brooks Koepka,8500
WYNDHAM_2026,8/8/26,Davis Thompson,8400
WYNDHAM_2026,8/8/26,Harris English,8300
WYNDHAM_2026,8/8/26,Brian Harman,8200
WYNDHAM_2026,8/8/26,Mac Meissner,8100
WYNDHAM_2026,8/8/26,Jordan Spieth,8000
WYNDHAM_2026,8/8/26,Keith Mitchell,7900
WYNDHAM_2026,8/8/26,Alex Noren,7900
WYNDHAM_2026,8/8/26,Doug Ghim,7800
WYNDHAM_2026,8/8/26,Blades Brown,7800
WYNDHAM_2026,8/8/26,Sungjae Im,7700
WYNDHAM_2026,8/8/26,Ben Kohles,7700
WYNDHAM_2026,8/8/26,Alex Smalley,7600
WYNDHAM_2026,8/8/26,Rasmus Højgaard,7600
WYNDHAM_2026,8/8/26,Jordan L. Smith,7500
WYNDHAM_2026,8/8/26,Matt Wallace,7500
WYNDHAM_2026,8/8/26,Christiaan Bezuidenhout,7500
WYNDHAM_2026,8/8/26,J.T. Poston,7400
WYNDHAM_2026,8/8/26,Chris Kirk,7400
WYNDHAM_2026,8/8/26,Bud Cauley,7400
WYNDHAM_2026,8/8/26,Benjamin James,7400
WYNDHAM_2026,8/8/26,Eric Cole,7400
WYNDHAM_2026,8/8/26,Max Greyserman,7400
WYNDHAM_2026,8/8/26,Michael Kim,7300
WYNDHAM_2026,8/8/26,Ryo Hisatsune,7300
WYNDHAM_2026,8/8/26,Sahith Theegala,7300
WYNDHAM_2026,8/8/26,Emiliano Grillo,7300
WYNDHAM_2026,8/8/26,Rasmus Neergaard-Petersen,7300
WYNDHAM_2026,8/8/26,Sepp Straka,7300
WYNDHAM_2026,8/8/26,Nick Taylor,7300
WYNDHAM_2026,8/8/26,Marco Penge,7200
WYNDHAM_2026,8/8/26,Pierceson Coody,7200
WYNDHAM_2026,8/8/26,Johnny Keefer,7200
WYNDHAM_2026,8/8/26,Denny McCarthy,7200
